"user_id","book_id","rating"
32,238,4
32,550,5
32,2357,5
32,758,5
32,101,4
32,344,4
32,2615,4
32,245,5
32,150,5
32,26,3
32,9,3
32,66,5
32,2,4
32,398,4
32,848,3
32,236,4
32,142,5
32,306,4
32,122,4
32,42,5
32,114,4
32,132,4
32,22,4
32,5,4
32,8,5
32,576,4
32,431,3
32,7,3
32,4682,3
32,1217,4
32,606,4
32,158,4
32,373,5
32,416,5
32,50,5
32,32,5
32,574,4
32,179,4
32,14,3
32,33,4
32,75,3
32,136,4
32,4095,3
32,1131,3
32,2015,3
32,59,4
32,857,5
32,102,5
32,160,2
32,125,4
32,321,4
32,387,3
32,733,4
32,2475,4
32,1021,5
32,127,4
32,211,4
32,154,3
32,621,5
32,2215,4
32,999,4
32,1825,4
32,40,5
32,29,4
32,529,3
32,1060,4
32,538,4
32,4418,4
32,625,4
32,45,1
32,205,4
32,278,5
32,696,4
32,898,3
32,90,5
32,93,4
32,410,4
32,79,4
32,100,5
32,204,3
32,560,2
32,4394,4
32,57,4
32,89,5
32,46,4
32,10,5
32,119,4
32,316,4
32,372,4
32,8045,3
32,2000,4
32,710,5
32,38,5
32,111,4
32,3546,4
32,31,5
32,1,5
32,17,4
32,20,4
32,256,3
32,654,4
34,498,5
34,371,3
34,1518,5
34,162,4
34,89,4
34,424,3
34,405,4
34,2177,4
34,611,4
34,1322,4
34,1312,3
34,10,4
34,391,5
34,442,5
34,408,2
34,5101,4
34,296,5
34,1657,5
34,121,4
34,70,4
34,232,4
34,5830,4
34,547,4
34,3203,3
34,400,4
34,3941,3
34,1010,5
34,937,4
34,60,2
34,168,4
34,172,4
34,546,2
34,3923,3
34,360,4
34,43,4
34,59,5
34,666,3
34,2616,4
34,520,5
34,3063,5
34,2098,4
34,65,4
34,297,3
34,126,5
34,13,5
34,3964,4
34,62,4
34,3728,3
34,653,4
34,1987,4
34,436,3
34,1208,4
34,967,3
34,485,4
34,1282,4
34,7254,5
34,5734,4
34,471,3
34,3314,3
34,816,3
34,1199,5
34,119,4
34,1479,4
34,2518,4
34,320,3
34,2448,3
34,2631,4
34,2407,3
34,572,4
34,1405,5
34,135,3
34,165,3
34,188,3
34,110,2
34,638,4
34,1368,5
34,1343,4
53,270,2
53,14,2
53,35,1
53,80,5
53,130,4
53,653,2
53,1664,5
53,213,3
53,315,1
53,4862,4
53,66,5
53,6195,1
53,786,3
53,489,2
53,125,5
53,26,3
53,361,1
53,160,1
53,278,3
53,8,3
53,3379,2
53,4068,4
53,13,3
53,1206,2
53,378,2
53,2716,3
53,162,4
53,606,3
53,171,1
53,43,3
53,63,2
53,180,2
53,472,5
53,323,3
53,116,2
53,11,5
70,323,5
70,26,4
70,80,5
70,709,5
70,1206,4
70,629,4
70,1835,4
70,1506,4
70,3928,5
70,597,5
70,653,5
70,154,4
70,29,5
70,125,5
70,353,4
70,770,3
70,839,4
70,248,4
70,773,3
70,270,4
70,489,3
70,606,2
70,7810,4
70,35,3
70,401,3
70,1580,4
70,427,4
70,95,3
70,935,2
70,172,5
70,10,3
70,478,3
70,1167,5
70,14,5
70,972,2
70,5525,3
70,94,5
70,635,3
70,772,3
70,706,2
70,7277,3
70,708,3
70,8079,2
70,5911,4
70,213,4
70,5,4
70,60,3
70,162,4
70,1529,2
70,1853,3
70,32,3
70,3643,3
71,6553,5
71,1976,4
71,4079,4
71,3379,4
71,1294,3
71,2465,3
71,2649,5
71,378,4
71,2798,5
71,5482,4
71,5150,4
71,6620,5
71,270,4
71,1999,4
71,65,4
71,6865,4
71,1516,2
71,1282,3
71,467,4
71,658,5
71,92,3
71,3893,4
71,104,3
71,6909,4
71,2914,4
71,2279,4
71,2809,3
71,3782,4
71,1672,4
71,2320,5
71,3650,5
71,2421,4
71,1494,3
71,211,2
71,127,2
71,2337,4
71,687,3
71,508,3
71,229,4
71,6475,5
71,657,3
71,1657,5
71,2616,2
71,5794,4
71,5076,5
71,546,3
71,1378,4
71,6064,3
71,380,4
71,209,1
71,431,1
71,256,4
71,430,5
71,3570,4
71,6327,4
71,5495,4
71,4755,5
71,4370,4
71,1710,4
71,723,3
71,2441,4
71,5146,3
71,208,4
71,4429,4
71,146,4
71,7275,5
71,8046,3
71,285,3
71,458,4
71,522,4
71,54,4
71,162,3
71,10,3
71,45,3
71,255,2
71,16,3
71,4239,3
71,1539,4
71,2742,4
86,2975,5
86,2926,4
86,177,3
86,1113,5
86,709,4
86,483,4
86,55,4
86,11,5
86,14,5
86,934,5
86,614,4
86,2024,5
86,1624,3
86,7651,4
86,178,5
86,8079,5
86,213,4
